epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,7879.36,0.40612,0.24611,0.85328,0.96873,0.93112,0.98094,0.87935,0.33149,0.16136,0.82314,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8019.43,0.40579,0.24622,0.85396,0.9341,0.95881,0.985,0.88345,0.3301,0.16059,0.8231,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8159.41,0.40432,0.24705,0.85384,0.95881,0.93511,0.98479,0.88687,0.32768,0.16108,0.82295,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8299.25,0.40361,0.24621,0.85243,0.94892,0.93187,0.98009,0.87841,0.32809,0.16105,0.82299,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8439.9,0.40223,0.24506,0.85399,0.91352,0.96765,0.99012,0.88331,0.32861,0.16161,0.82283,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8660.08,0.40205,0.24238,0.85388,0.95477,0.95433,0.98582,0.88362,0.32856,0.15831,0.82322,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8802.8,0.40028,0.24128,0.8523,0.95537,0.94623,0.98525,0.88239,0.32646,0.15743,0.82217,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8943.02,0.39921,0.24128,0.85356,0.91703,0.97125,0.98513,0.88236,0.32684,0.15728,0.82227,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9083.77,0.39597,0.23854,0.85155,0.92266,0.9707,0.9852,0.88141,0.32734,0.15646,0.82285,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9230,0.39761,0.23763,0.85308,0.96047,0.94282,0.9904,0.88236,0.32697,0.1559,0.8225,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9370.82,0.39525,0.23577,0.8519,0.95812,0.93357,0.98619,0.87766,0.32543,0.15527,0.82193,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9533.15,0.3936,0.23308,0.85141,0.91059,0.97826,0.98994,0.88553,0.32392,0.15497,0.82229,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9679.54,0.39327,0.23348,0.85147,0.96177,0.93181,0.99112,0.88326,0.32355,0.15407,0.82211,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9821.18,0.39447,0.23328,0.85028,0.92363,0.96732,0.9906,0.88444,0.32478,0.15383,0.82215,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9960.83,0.38997,0.22946,0.84976,0.89423,0.9867,0.98572,0.87988,0.32461,0.15371,0.82178,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10101,0.39096,0.23072,0.85184,0.94766,0.93578,0.98562,0.88285,0.32397,0.15274,0.8215,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10240.6,0.38871,0.22913,0.84962,0.91649,0.97924,0.9893,0.88589,0.32268,0.15173,0.82111,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10380.7,0.38661,0.22866,0.84766,0.95352,0.94371,0.9859,0.88443,0.32227,0.15186,0.82102,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10520.7,0.3868,0.22755,0.84924,0.92782,0.96951,0.98616,0.88386,0.32233,0.15283,0.82117,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10661.9,0.38595,0.22484,0.84999,0.91974,0.97882,0.98651,0.88264,0.3207,0.1514,0.82085,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10803.9,0.3817,0.22451,0.84903,0.92804,0.95643,0.98568,0.87978,0.32099,0.15189,0.82118,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10944.2,0.38192,0.22239,0.84861,0.95114,0.94407,0.98516,0.88144,0.32202,0.15194,0.82142,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11084.2,0.37959,0.22162,0.84819,0.95508,0.94178,0.98973,0.88268,0.3218,0.15227,0.82144,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11224.4,0.37972,0.21988,0.84899,0.93511,0.96528,0.98538,0.87925,0.32114,0.15148,0.82129,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11364.8,0.38002,0.21935,0.84759,0.92938,0.97503,0.9856,0.88007,0.32096,0.1506,0.82123,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11504.9,0.37683,0.21703,0.84759,0.92022,0.97699,0.99018,0.88432,0.32118,0.15069,0.82122,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11645.1,0.37512,0.21717,0.84657,0.92807,0.9658,0.98972,0.88036,0.32048,0.15039,0.82099,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11784.9,0.37417,0.21408,0.84809,0.96723,0.93825,0.98937,0.88209,0.32,0.15034,0.82088,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11924.8,0.37347,0.21456,0.84597,0.92853,0.96454,0.98895,0.88228,0.32016,0.15052,0.82099,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12422.2,0.37302,0.21396,0.84605,0.92188,0.96534,0.98917,0.88248,0.31953,0.1501,0.82068,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12563.6,0.36992,0.21092,0.84462,0.92789,0.9648,0.98919,0.88274,0.31983,0.14973,0.82063,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
